,file_path,matches
2,/Users/andrew/Documents/projects/solana/sdk/src/epoch_rewards_hasher.rs,"[{'line_number': 2, 'line_content': 'siphasher::sip::SipHasher13,'}]"
0,/Users/andrew/Documents/projects/solana/Cargo.toml,"[{'line_number': 194, 'line_content': 'ed25519-dalek = ""=1.0.1""'}, {'line_number': 195, 'line_content': 'ed25519-dalek-bip32 = ""0.2.0""'}]"
1,/Users/andrew/Documents/projects/solana/core/src/banking_stage/latest_unprocessed_votes.rs,"[{'line_number': 116, 'line_content': '// This requires updating dependencies of ed25519-dalek as rand_core is not compatible cross'}, {'line_number': 117, 'line_content': '// version https://github.com/dalek-cryptography/ed25519-dalek/pull/214'}]"
2,/Users/andrew/Documents/projects/solana/runtime/Cargo.toml,"[{'line_number': 88, 'line_content': 'ed25519-dalek = { workspace = true }'}]"
3,/Users/andrew/Documents/projects/solana/runtime/src/bank/tests.rs,"[{'line_number': 10023, 'line_content': '// https://docs.rs/ed25519-dalek/1.0.1/src/ed25519_dalek/secret.rs.html#167'}]"
4,/Users/andrew/Documents/projects/solana/programs/ed25519-tests/Cargo.toml,"[{'line_number': 13, 'line_content': 'ed25519-dalek = { workspace = true }'}]"
5,/Users/andrew/Documents/projects/solana/programs/ed25519-tests/tests/process_transaction.rs,"[{'line_number': 13, 'line_content': '// https://docs.rs/ed25519-dalek/1.0.1/src/ed25519_dalek/secret.rs.html#167'}]"
6,/Users/andrew/Documents/projects/solana/sdk/Cargo.toml,"[{'line_number': 31, 'line_content': '""ed25519-dalek"",'}, {'line_number': 32, 'line_content': '""ed25519-dalek-bip32"",'}, {'line_number': 53, 'line_content': 'ed25519-dalek = { workspace = true, optional = true }'}, {'line_number': 54, 'line_content': 'ed25519-dalek-bip32 = { workspace = true, optional = true }'}]"
7,/Users/andrew/Documents/projects/solana/sdk/src/signature.rs,"[{'line_number': 208, 'line_content': ""// Unfortunately, ed25519-dalek doesn't surface the internal error types that we'd ideally""}]"
8,/Users/andrew/Documents/projects/solana/cli-output/Cargo.toml,"[{'line_number': 34, 'line_content': 'ed25519-dalek = { workspace = true }'}]"
9,/Users/andrew/Documents/projects/solana/accounts-db/Cargo.toml,"[{'line_number': 72, 'line_content': 'ed25519-dalek = { workspace = true }'}]"
0,/Users/andrew/Documents/projects/solana/Cargo.toml,"[{'line_number': 290, 'line_content': 'rustls = { version = ""0.21.11"", default-features = false, features = [""quic""] }'}]"
1,/Users/andrew/Documents/projects/solana/metrics/Cargo.toml,"[{'line_number': 17, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}]"
2,/Users/andrew/Documents/projects/solana/rpc-test/Cargo.toml,"[{'line_number': 19, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}]"
3,/Users/andrew/Documents/projects/solana/quic-client/Cargo.toml,"[{'line_number': 22, 'line_content': 'rustls = { workspace = true, features = [""dangerous_configuration""] }'}]"
4,/Users/andrew/Documents/projects/solana/quic-client/tests/quic_client.rs,"[{'line_number': 16, 'line_content': 'tls_certificates::new_self_signed_tls_certificate,'}, {'line_number': 279, 'line_content': 'new_self_signed_tls_certificate(&Keypair::new(), IpAddr::V4(Ipv4Addr::UNSPECIFIED))'}, {'line_number': 301, 'line_content': 'new_self_signed_tls_certificate(&Keypair::new(), IpAddr::V4(Ipv4Addr::LOCALHOST))'}]"
5,/Users/andrew/Documents/projects/solana/quic-client/src/lib.rs,"[{'line_number': 33, 'line_content': 'tls_certificates::new_self_signed_tls_certificate,'}, {'line_number': 115, 'line_content': 'let (cert, priv_key) = new_self_signed_tls_certificate(&Keypair::new(), addr)?;'}, {'line_number': 158, 'line_content': 'let (cert, priv_key) = new_self_signed_tls_certificate(keypair, ipaddr)?;'}, {'line_number': 171, 'line_content': 'let (cert, priv_key) = new_self_signed_tls_certificate(keypair, self.addr)?;'}]"
6,/Users/andrew/Documents/projects/solana/quic-client/src/nonblocking/quic_client.rs,"[{'line_number': 30, 'line_content': 'nonblocking::quic::ALPN_TPU_PROTOCOL_ID, tls_certificates::new_self_signed_tls_certificate,'}, {'line_number': 49, 'line_content': 'impl rustls::client::ServerCertVerifier for SkipServerVerification {'}, {'line_number': 52, 'line_content': '_end_entity: &rustls::Certificate,'}, {'line_number': 53, 'line_content': '_intermediates: &[rustls::Certificate],'}, {'line_number': 54, 'line_content': '_server_name: &rustls::ServerName,'}, {'line_number': 58, 'line_content': ') -> Result<rustls::client::ServerCertVerified, rustls::Error> {'}, {'line_number': 59, 'line_content': 'Ok(rustls::client::ServerCertVerified::assertion())'}, {'line_number': 64, 'line_content': 'pub certificate: rustls::Certificate,'}, {'line_number': 65, 'line_content': 'pub key: rustls::PrivateKey,'}, {'line_number': 117, 'line_content': 'let mut crypto = rustls::ClientConfig::builder()'}, {'line_number': 152, 'line_content': 'new_self_signed_tls_certificate(&Keypair::new(), IpAddr::V4(Ipv4Addr::UNSPECIFIED))'}]"
7,/Users/andrew/Documents/projects/solana/install/Cargo.toml,"[{'line_number': 25, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}]"
8,/Users/andrew/Documents/projects/solana/core/Cargo.toml,"[{'line_number': 25, 'line_content': 'etcd-client = { workspace = true, features = [""tls""] }'}, {'line_number': 41, 'line_content': 'rustls = { workspace = true }'}]"
9,/Users/andrew/Documents/projects/solana/core/src/consensus/tower_storage.rs,"[{'line_number': 234, 'line_content': 'tls_config: Option<EtcdTlsConfig>,'}, {'line_number': 245, 'line_content': 'tls_config.map(|tls_config| {'}, {'line_number': 246, 'line_content': 'etcd_client::ConnectOptions::default().with_tls('}, {'line_number': 248, 'line_content': '.domain_name(tls_config.domain_name)'}, {'line_number': 250, 'line_content': 'tls_config.ca_certificate,'}, {'line_number': 253, 'line_content': 'tls_config.identity_certificate,'}, {'line_number': 254, 'line_content': 'tls_config.identity_private_key,'}]"
10,/Users/andrew/Documents/projects/solana/core/src/repair/quic_endpoint.rs,"[{'line_number': 13, 'line_content': 'rustls::{Certificate, PrivateKey},'}, {'line_number': 19, 'line_content': 'quic::SkipClientVerification, tls_certificates::new_self_signed_tls_certificate,'}, {'line_number': 110, 'line_content': 'TlsError(#[from] rustls::Error),'}, {'line_number': 130, 'line_content': 'let (cert, key) = new_self_signed_tls_certificate(keypair, address)?;'}, {'line_number': 177, 'line_content': 'fn new_server_config(cert: Certificate, key: PrivateKey) -> Result<ServerConfig, rustls::Error> {'}, {'line_number': 178, 'line_content': 'let mut config = rustls::ServerConfig::builder()'}, {'line_number': 191, 'line_content': 'fn new_client_config(cert: Certificate, key: PrivateKey) -> Result<ClientConfig, rustls::Error> {'}, {'line_number': 192, 'line_content': 'let mut config = rustls::ClientConfig::builder()'}]"
11,/Users/andrew/Documents/projects/solana/validator/src/main.rs,"[{'line_number': 1143, 'line_content': 'let tls_config = tower_storage::EtcdTlsConfig {'}, {'line_number': 1151, 'line_content': 'tower_storage::EtcdTowerStorage::new(endpoints, Some(tls_config))'}]"
12,/Users/andrew/Documents/projects/solana/notifier/Cargo.toml,"[{'line_number': 14, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}]"
13,/Users/andrew/Documents/projects/solana/download-utils/Cargo.toml,"[{'line_number': 16, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}]"
14,/Users/andrew/Documents/projects/solana/target/release/build/librocksdb-sys-3008184acd024ead/out/bindings.rs,"[{'line_number': 1372, 'line_content': 'ttls: *const libc::c_int,'}]"
15,/Users/andrew/Documents/projects/solana/target/debug/build/librocksdb-sys-4b34bc0f67e26a76/out/bindings.rs,"[{'line_number': 1372, 'line_content': 'ttls: *const libc::c_int,'}]"
16,/Users/andrew/Documents/projects/solana/client-test/Cargo.toml,"[{'line_number': 36, 'line_content': 'tungstenite = { workspace = true, features = [""rustls-tls-webpki-roots""] }'}]"
17,/Users/andrew/Documents/projects/solana/pubsub-client/Cargo.toml,"[{'line_number': 16, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}, {'line_number': 27, 'line_content': 'tokio-tungstenite = { workspace = true, features = [""rustls-tls-webpki-roots""] }'}, {'line_number': 28, 'line_content': 'tungstenite = { workspace = true, features = [""rustls-tls-webpki-roots""] }'}]"
18,/Users/andrew/Documents/projects/solana/cli/Cargo.toml,"[{'line_number': 26, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}]"
19,/Users/andrew/Documents/projects/solana/rpc-client/Cargo.toml,"[{'line_number': 19, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}]"
20,/Users/andrew/Documents/projects/solana/rpc-client/src/nonblocking/rpc_client.rs,"[{'line_number': 5398, 'line_content': 'pub(crate) fn get_rpc_request_str(rpc_addr: SocketAddr, tls: bool) -> String {'}, {'line_number': 5399, 'line_content': 'if tls {'}]"
21,/Users/andrew/Documents/projects/solana/streamer/Cargo.toml,"[{'line_number': 30, 'line_content': 'rustls = { workspace = true, features = [""dangerous_configuration""] }'}]"
22,/Users/andrew/Documents/projects/solana/streamer/src/quic.rs,"[{'line_number': 4, 'line_content': 'tls_certificates::new_self_signed_tls_certificate,'}, {'line_number': 9, 'line_content': 'rustls::{server::ClientCertVerified, Certificate, DistinguishedName},'}, {'line_number': 45, 'line_content': 'impl rustls::server::ClientCertVerifier for SkipClientVerification {'}, {'line_number': 55, 'line_content': ') -> Result<ClientCertVerified, rustls::Error> {'}, {'line_number': 56, 'line_content': 'Ok(rustls::server::ClientCertVerified::assertion())'}, {'line_number': 67, 'line_content': 'let (cert, priv_key) = new_self_signed_tls_certificate(identity_keypair, gossip_host)?;'}, {'line_number': 74, 'line_content': 'let mut server_tls_config = rustls::ServerConfig::builder()'}, {'line_number': 78, 'line_content': 'server_tls_config.alpn_protocols = vec![ALPN_TPU_PROTOCOL_ID.to_vec()];'}, {'line_number': 80, 'line_content': 'let mut server_config = ServerConfig::with_crypto(Arc::new(server_tls_config));'}, {'line_number': 117, 'line_content': 'TlsError(#[from] rustls::Error),'}]"
23,/Users/andrew/Documents/projects/solana/streamer/src/lib.rs,"[{'line_number': 9, 'line_content': 'pub mod tls_certificates;'}]"
24,/Users/andrew/Documents/projects/solana/streamer/src/tls_certificates.rs,"[{'line_number': 9, 'line_content': 'pub fn new_self_signed_tls_certificate('}, {'line_number': 12, 'line_content': ') -> Result<(rustls::Certificate, rustls::PrivateKey), RcgenError> {'}, {'line_number': 54, 'line_content': 'let priv_key = rustls::PrivateKey(priv_key);'}, {'line_number': 55, 'line_content': 'Ok((rustls::Certificate(cert_der), priv_key))'}, {'line_number': 58, 'line_content': 'pub fn get_pubkey_from_tls_certificate(der_cert: &rustls::Certificate) -> Option<Pubkey> {'}, {'line_number': 71, 'line_content': 'fn test_generate_tls_certificate() {'}, {'line_number': 75, 'line_content': 'new_self_signed_tls_certificate(&keypair, IpAddr::V4(Ipv4Addr::LOCALHOST))'}, {'line_number': 77, 'line_content': 'if let Some(pubkey) = get_pubkey_from_tls_certificate(&cert) {'}]"
25,/Users/andrew/Documents/projects/solana/streamer/src/nonblocking/quic.rs,"[{'line_number': 9, 'line_content': 'tls_certificates::get_pubkey_from_tls_certificate,'}, {'line_number': 259, 'line_content': '.downcast::<Vec<rustls::Certificate>>()'}, {'line_number': 263, 'line_content': '.and_then(get_pubkey_from_tls_certificate)'}, {'line_number': 1229, 'line_content': 'tls_certificates::new_self_signed_tls_certificate,'}, {'line_number': 1253, 'line_content': 'impl rustls::client::ServerCertVerifier for SkipServerVerification {'}, {'line_number': 1256, 'line_content': '_end_entity: &rustls::Certificate,'}, {'line_number': 1257, 'line_content': '_intermediates: &[rustls::Certificate],'}, {'line_number': 1258, 'line_content': '_server_name: &rustls::ServerName,'}, {'line_number': 1262, 'line_content': ') -> Result<rustls::client::ServerCertVerified, rustls::Error> {'}, {'line_number': 1263, 'line_content': 'Ok(rustls::client::ServerCertVerified::assertion())'}, {'line_number': 1269, 'line_content': 'let (cert, key) = new_self_signed_tls_certificate(keypair, ipaddr)'}, {'line_number': 1272, 'line_content': 'let mut crypto = rustls::ClientConfig::builder()'}]"
26,/Users/andrew/Documents/projects/solana/sdk/cargo-build-sbf/Cargo.toml,"[{'line_number': 19, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""rustls-tls""] }'}]"
27,/Users/andrew/Documents/projects/solana/storage-bigtable/Cargo.toml,"[{'line_number': 36, 'line_content': 'tonic = { workspace = true, features = [""tls"", ""transport""] }'}]"
28,/Users/andrew/Documents/projects/solana/storage-bigtable/src/bigtable.rs,"[{'line_number': 180, 'line_content': '.tls_config('}, {'line_number': 209, 'line_content': 'proxy_connector.set_tls(None);'}]"
29,/Users/andrew/Documents/projects/solana/turbine/Cargo.toml,"[{'line_number': 25, 'line_content': 'rustls = { workspace = true }'}]"
30,/Users/andrew/Documents/projects/solana/turbine/src/quic_endpoint.rs,"[{'line_number': 12, 'line_content': 'rustls::{Certificate, PrivateKey},'}, {'line_number': 17, 'line_content': 'quic::SkipClientVerification, tls_certificates::new_self_signed_tls_certificate,'}, {'line_number': 85, 'line_content': 'TlsError(#[from] rustls::Error),'}, {'line_number': 110, 'line_content': 'let (cert, key) = new_self_signed_tls_certificate(keypair, address)?;'}, {'line_number': 157, 'line_content': 'fn new_server_config(cert: Certificate, key: PrivateKey) -> Result<ServerConfig, rustls::Error> {'}, {'line_number': 158, 'line_content': 'let mut config = rustls::ServerConfig::builder()'}, {'line_number': 171, 'line_content': 'fn new_client_config(cert: Certificate, key: PrivateKey) -> Result<ClientConfig, rustls::Error> {'}, {'line_number': 172, 'line_content': 'let mut config = rustls::ClientConfig::builder()'}]"
31,/Users/andrew/Documents/projects/solana/rpc-client-api/Cargo.toml,"[{'line_number': 16, 'line_content': 'reqwest = { workspace = true, features = [""blocking"", ""brotli"", ""deflate"", ""gzip"", ""rustls-tls"", ""json""] }'}]"
0,/Users/andrew/Documents/projects/solana/Cargo.toml,"[{'line_number': 303, 'line_content': 'sha3 = ""0.10.4""'}]"
1,/Users/andrew/Documents/projects/solana/zk-token-sdk/Cargo.toml,"[{'line_number': 34, 'line_content': 'sha3 = ""0.9""'}]"
2,/Users/andrew/Documents/projects/solana/zk-token-sdk/src/encryption/auth_encryption.rs,"[{'line_number': 16, 'line_content': 'sha3::{Digest, Sha3_512},'}]"
3,/Users/andrew/Documents/projects/solana/zk-token-sdk/src/encryption/pedersen.rs,"[{'line_number': 15, 'line_content': 'sha3::Sha3_512,'}]"
4,/Users/andrew/Documents/projects/solana/zk-token-sdk/src/encryption/elgamal.rs,"[{'line_number': 50, 'line_content': 'sha3::{Digest, Sha3_512},'}]"
5,/Users/andrew/Documents/projects/solana/zk-token-sdk/src/range_proof/inner_product.rs,"[{'line_number': 427, 'line_content': 'sha3::Sha3_512,'}]"
6,/Users/andrew/Documents/projects/solana/zk-token-sdk/src/range_proof/generators.rs,"[{'line_number': 7, 'line_content': 'sha3::{Sha3XofReader, Shake256},'}]"
7,/Users/andrew/Documents/projects/solana/target/release/build/oid-registry-cbdc8458b5bcd629/out/oid_db.rs,"[{'line_number': 343, 'line_content': 'self.insert(oid!(2.16.840.1.101.3.4.2.2), OidEntry::new(""sha384"", ""Secure Hash Algorithm that uses a 384 bit key (SHA384)""));'}, {'line_number': 359, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.12), OidEntry::new(""sha384WithRSAEncryption"", ""SHA384 with RSA encryption""));'}]"
8,/Users/andrew/Documents/projects/solana/target/debug/build/oid-registry-cbff4a0a3518657e/out/oid_db.rs,"[{'line_number': 343, 'line_content': 'self.insert(oid!(2.16.840.1.101.3.4.2.2), OidEntry::new(""sha384"", ""Secure Hash Algorithm that uses a 384 bit key (SHA384)""));'}, {'line_number': 359, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.12), OidEntry::new(""sha384WithRSAEncryption"", ""SHA384 with RSA encryption""));'}]"
9,/Users/andrew/Documents/projects/solana/target/debug/build/oid-registry-feb50f81c2dc56a1/out/oid_db.rs,"[{'line_number': 343, 'line_content': 'self.insert(oid!(2.16.840.1.101.3.4.2.2), OidEntry::new(""sha384"", ""Secure Hash Algorithm that uses a 384 bit key (SHA384)""));'}, {'line_number': 359, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.12), OidEntry::new(""sha384WithRSAEncryption"", ""SHA384 with RSA encryption""));'}]"
10,/Users/andrew/Documents/projects/solana/sdk/Cargo.toml,"[{'line_number': 35, 'line_content': '""sha3"",'}, {'line_number': 77, 'line_content': 'sha3 = { workspace = true, optional = true }'}]"
11,/Users/andrew/Documents/projects/solana/sdk/program/Cargo.toml,"[{'line_number': 35, 'line_content': 'sha3 = { workspace = true }'}]"
12,/Users/andrew/Documents/projects/solana/sdk/program/src/keccak.rs,"[{'line_number': 8, 'line_content': 'sha3::{Digest, Keccak256},'}, {'line_number': 51, 'line_content': '// At the time of this writing, the sha3 library is stuck on an old version'}]"
13,/Users/andrew/Documents/projects/solana/sdk/src/secp256k1_instruction.rs,"[{'line_number': 852, 'line_content': 'let mut hasher = sha3::Keccak256::new();'}, {'line_number': 911, 'line_content': 'addr.copy_from_slice(&sha3::Keccak256::digest(&pubkey.serialize()[1..])[12..]);'}, {'line_number': 999, 'line_content': 'let mut hasher = sha3::Keccak256::new();'}]"
0,/Users/andrew/Documents/projects/solana/Cargo.toml,"[{'line_number': 215, 'line_content': 'hmac = ""0.12.1""'}]"
1,/Users/andrew/Documents/projects/solana/sdk/Cargo.toml,"[{'line_number': 56, 'line_content': 'hmac = { workspace = true }'}]"
2,/Users/andrew/Documents/projects/solana/sdk/src/signer/keypair.rs,"[{'line_number': 12, 'line_content': 'hmac::Hmac,'}]"
0,/Users/andrew/Documents/projects/solana/bloom/benches/bloom.rs,"[{'line_number': 6, 'line_content': 'fnv::FnvHasher,'}, {'line_number': 21, 'line_content': 'let mut hasher = FnvHasher::default();'}, {'line_number': 36, 'line_content': 'let mut hasher = FnvHasher::default();'}]"
1,/Users/andrew/Documents/projects/solana/bloom/src/bloom.rs,"[{'line_number': 5, 'line_content': 'fnv::FnvHasher,'}, {'line_number': 138, 'line_content': 'let mut hasher = FnvHasher::with_key(hash_index);'}]"
0,/Users/andrew/Documents/projects/solana/Cargo.toml,"[{'line_number': 195, 'line_content': 'ed25519-dalek-bip32 = ""0.2.0""'}]"
1,/Users/andrew/Documents/projects/solana/sdk/Cargo.toml,"[{'line_number': 32, 'line_content': '""ed25519-dalek-bip32"",'}, {'line_number': 54, 'line_content': 'ed25519-dalek-bip32 = { workspace = true, optional = true }'}]"
2,/Users/andrew/Documents/projects/solana/sdk/src/signer/keypair.rs,"[{'line_number': 11, 'line_content': 'ed25519_dalek_bip32::Error as Bip32Error,'}, {'line_number': 225, 'line_content': 'bip32_derived_keypair(seed, derivation_path).map_err(|err| err.to_string().into())'}, {'line_number': 229, 'line_content': 'fn bip32_derived_keypair('}, {'line_number': 233, 'line_content': 'let extended = ed25519_dalek_bip32::ExtendedSecretKey::from_seed(seed)'}]"
3,/Users/andrew/Documents/projects/solana/clap-v3-utils/src/keypair.rs,"[{'line_number': 934, 'line_content': '/// The bip32 hierarchical derivation of an ElGamal keypair is not currently'}, {'line_number': 1005, 'line_content': '/// The bip32 hierarchical derivation of an authenticated encryption key is not'}]"
0,/Users/andrew/Documents/projects/solana/Cargo.toml,"[{'line_number': 302, 'line_content': 'sha2 = ""0.10.8""'}]"
1,/Users/andrew/Documents/projects/solana/ledger/Cargo.toml,"[{'line_number': 39, 'line_content': 'sha2 = { workspace = true }'}]"
2,/Users/andrew/Documents/projects/solana/ledger/src/sigverify_shreds.rs,"[{'line_number': 6, 'line_content': 'sha2::{Digest, Sha512},'}]"
3,/Users/andrew/Documents/projects/solana/install/src/command.rs,"[{'line_number': 64, 'line_content': '/// Downloads a file at `url` to a temporary location.  If `expected_sha256` is'}, {'line_number': 74, 'line_content': 'expected_sha256: Option<&Hash>,'}, {'line_number': 76, 'line_content': 'fn sha256_file_digest<P: AsRef<Path>>(path: P) -> Result<Hash, Box<dyn std::error::Error>> {'}, {'line_number': 148, 'line_content': 'let temp_file_sha256 = sha256_file_digest(&temp_file)'}, {'line_number': 151, 'line_content': 'if expected_sha256.is_some() && expected_sha256 != Some(&temp_file_sha256) {'}, {'line_number': 156, 'line_content': 'Ok((temp_dir, temp_file, temp_file_sha256))'}, {'line_number': 722, 'line_content': 'let (temp_dir, temp_archive, temp_archive_sha256) = download_to_temp(download_url, None)'}, {'line_number': 727, 'line_content': 'if temp_archive_sha256 == update_manifest.download_sha256 {'}, {'line_number': 759, 'line_content': 'update_manifest.manifest.download_sha256 = temp_archive_sha256;'}, {'line_number': 970, 'line_content': 'let (updated_version, download_url_and_sha256, release_dir) = if let Some(explicit_release) ='}, {'line_number': 1018, 'line_content': 'let download_url_and_sha256 = if release_dir.exists() {'}, {'line_number': 1024, 'line_content': '(release_semver, download_url_and_sha256, release_dir)'}, {'line_number': 1032, 'line_content': 'let (_temp_dir, temp_file, _temp_archive_sha256) ='}, {'line_number': 1126, 'line_content': 'let release_dir = config.release_dir(&update_manifest.download_sha256.to_string());'}, {'line_number': 1129, 'line_content': 'let archive_sha256 = Some(update_manifest.download_sha256);'}, {'line_number': 1132, 'line_content': 'Some((download_url, archive_sha256)),'}, {'line_number': 1146, 'line_content': 'if let Some((download_url, archive_sha256)) = download_url_and_sha256 {'}, {'line_number': 1147, 'line_content': 'let (_temp_dir, temp_archive, _temp_archive_sha256) ='}, {'line_number': 1148, 'line_content': 'download_to_temp(&download_url, archive_sha256.as_ref())'}]"
4,/Users/andrew/Documents/projects/solana/install/src/update_manifest.rs,"[{'line_number': 17, 'line_content': 'pub download_sha256: Hash, // SHA256 digest of the release tar.bz2 file'}]"
5,/Users/andrew/Documents/projects/solana/target/release/build/oid-registry-cbdc8458b5bcd629/out/oid_db.rs,"[{'line_number': 342, 'line_content': 'self.insert(oid!(2.16.840.1.101.3.4.2.1), OidEntry::new(""sha256"", ""Secure Hash Algorithm that uses a 256 bit key (SHA256)""));'}, {'line_number': 358, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.11), OidEntry::new(""sha256WithRSAEncryption"", ""SHA256 with RSA encryption""));'}, {'line_number': 361, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.14), OidEntry::new(""sha224WithRSAEncryption"", ""SHA224 with RSA encryption""));'}]"
6,/Users/andrew/Documents/projects/solana/target/debug/build/oid-registry-cbff4a0a3518657e/out/oid_db.rs,"[{'line_number': 342, 'line_content': 'self.insert(oid!(2.16.840.1.101.3.4.2.1), OidEntry::new(""sha256"", ""Secure Hash Algorithm that uses a 256 bit key (SHA256)""));'}, {'line_number': 358, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.11), OidEntry::new(""sha256WithRSAEncryption"", ""SHA256 with RSA encryption""));'}, {'line_number': 361, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.14), OidEntry::new(""sha224WithRSAEncryption"", ""SHA224 with RSA encryption""));'}]"
7,/Users/andrew/Documents/projects/solana/target/debug/build/oid-registry-feb50f81c2dc56a1/out/oid_db.rs,"[{'line_number': 342, 'line_content': 'self.insert(oid!(2.16.840.1.101.3.4.2.1), OidEntry::new(""sha256"", ""Secure Hash Algorithm that uses a 256 bit key (SHA256)""));'}, {'line_number': 358, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.11), OidEntry::new(""sha256WithRSAEncryption"", ""SHA256 with RSA encryption""));'}, {'line_number': 361, 'line_content': 'self.insert(oid!(1.2.840.113549.1.1.14), OidEntry::new(""sha224WithRSAEncryption"", ""SHA224 with RSA encryption""));'}]"
8,/Users/andrew/Documents/projects/solana/program-runtime/src/compute_budget.rs,"[{'line_number': 39, 'line_content': 'pub sha256_base_cost: u64,'}, {'line_number': 41, 'line_content': 'pub sha256_byte_cost: u64,'}, {'line_number': 43, 'line_content': 'pub sha256_max_slices: u64,'}, {'line_number': 140, 'line_content': 'sha256_base_cost: 85,'}, {'line_number': 141, 'line_content': 'sha256_byte_cost: 1,'}, {'line_number': 142, 'line_content': 'sha256_max_slices: 20_000,'}]"
